,id,longitud,latitud,cluster
1441,4861,-3649507235545,40427575496390,245
1442,4862,-3663303284504,40467649388943,103
1443,4863,-3663336634139,40433518447653,264
1444,4865,-3663420523373,40454523369127,104
1445,4866,-3663006314564,40439978847273,234
1446,4867,-3649647071723,40409817123788,149
1447,4868,-3649874106251,40471716040682,72
1448,4869,-3648525829643,40427773044797,245
1449,4870,-3648529406633,40446113869219,69
1450,4871,-3648708232314,40400589770728,52
1451,4872,-3663082550586,40411141711991,237
1452,4873,-3663153984175,40484358059587,117
1453,4874,-3663198036027,40411181542220,237
1454,4875,-3663261292980,40395215312880,61
1455,4876,-3663267744302,40462305045282,225
1456,4877,-3663194302399,40473422283787,55
1457,4878,-3662689976131,40449837753393,104
1458,4879,-3662691486454,40394852076731,61
1459,4880,-3662715350160,40451548919707,104
1460,4881,-3662785943550,40472976777138,55
1461,4882,-3648809926984,40400548463207,52
1462,4883,-3648852729212,40391110557747,155
1463,4884,-3663292521349,40460733155773,225
1464,4885,-3648859910614,40427071709978,245
1465,4886,-3648869017195,40446842222384,69
1466,4887,-3648910447632,40409289513629,149
1467,4888,-3648945617925,40400397540118,52
1468,4889,-3648982051038,40427110012001,245
1469,4890,-3649122390833,40428283554616,245
1470,4891,-3650163299228,40448096128848,287
1471,4892,-3664047452802,40435396743667,179
1472,4893,-3664055426686,40503986809029,277
1473,4894,-3743867868674,40373390873860,71
1474,4895,-3663601392800,40484153379568,117
1475,4896,-3663640833204,40406566738807,168
1476,4897,-3663645530423,40457210762991,225
1477,4898,-3663653216060,40468165543981,103
1478,4899,-3663717624446,40454416335785,104
1479,4900,-3663764801005,40467508471673,103
1480,4901,-3663770188414,40503602794872,277
1481,4902,-3663780964224,40433504597481,264
1482,4903,-3742024369517,40372213637172,71
1483,4904,-3742082749581,40475719292699,21
1484,4905,-3742095307591,40387548107963,8
1485,4906,-3741875109856,40366451980536,285
1486,4907,-3742147362220,40373445154086,71
1487,4908,-3743910876520,40396727086565,112
1488,4909,-3663900239737,40395487130539,61
1489,4910,-3664072712687,40461901183372,225
1490,4911,-3664080479724,40388791052152,152
1491,4912,-3663889792364,40453007835381,104
1492,4913,-3663911028049,40507326995032,277
1493,4914,-3663917883445,40493381299935,111
1494,4915,-3664095158709,40410330658080,237
1495,4916,-3664024958980,40472031861980,55
1496,4917,-3663972782036,40474099064321,55
1497,4918,-3743385060458,40390614389226,112
1498,4919,-3743573611545,40400854196689,4
1499,4920,-3743394433351,40408388446431,262
1500,4921,-3743759516531,40408029678945,262
1501,4922,-3664110839248,40409210105960,237
1502,4923,-3664110881042,40406401035979,168
1503,4924,-3665521820638,40405543357311,168
1504,4925,-3665434996448,40506952502019,277
1505,4926,-3664124196173,40406323075173,168
1506,4927,-3664161483284,40431201232632,264
1507,4928,-3665471276679,40475006022951,55
1508,4929,-3664172028763,40482538041242,247
1509,4930,-3664178267833,40406224653856,168
1510,4931,-3664190978032,40406152866276,168
1511,4932,-3664220728419,40493785766749,111
1512,4933,-3664223762345,40395450156011,61
1513,4934,-3664231750888,40407362150475,168
1514,4935,-3664258472718,40482752199810,247
1515,4936,-3665634392961,40512285771167,25
1516,4937,-3665638436597,40510617809684,25
1517,4938,-3664277660141,40474044602494,55
1518,4939,-3664297143391,40382805613468,244
1519,4940,-3665655735674,40420286798697,181
1520,4941,-3664307241199,40381636903505,244
1521,4942,-3664324373121,40389141193507,152
1522,4943,-3664375276756,40389067614618,152
1523,4944,-3664430006382,40478047166027,247
1524,4945,-3664437409730,40462253652017,225
1525,4946,-3664446427725,40407424781740,168
1526,4947,-3664483799308,40388575850781,152
1527,4948,-3664539992113,40407452162522,168
1528,4949,-3664587022809,40388830707958,152
1529,4950,-3664627945669,40505070550592,277
1530,4951,-3664656843459,40404597297211,168
1531,4952,-3664715804840,40495283539453,111
1532,4953,-3664722418588,40504803306991,277
1533,4954,-3665667771732,40406546645169,168
1534,4955,-3665372923224,40406555915150,168
1535,4956,-3664788739950,40411039583885,237
1536,4957,-3664836036864,40462781862369,233
1537,4958,-3665653054066,40474766251272,55
1538,4959,-3665655263808,40396463571329,61
1539,4960,-3665489521519,40452001313590,153
1540,4961,-3666852653934,40442317259548,253
1541,4962,-3665772709861,40494793016975,111
1542,4963,-3665822488941,40418489635536,181
1543,4964,-3666903297553,40469603598371,103
1544,4965,-3665864172877,40495614325548,111
1545,4966,-3666936098197,40511828981566,25
1546,4967,-3665864490497,40429454666579,264
1547,4968,-3665963755157,40471749050225,55
1548,4969,-3666936697567,40480323560422,247
1549,4970,-3666937870512,40470267041049,103
1550,4971,-3665964067917,40495599306035,111
1551,4972,-3665999925599,40432375960872,264
1552,4973,-3666018181485,40404005529687,168
1553,4974,-3666042689358,40396610538322,61
1554,4975,-3666053812287,40448595414280,153
1555,4976,-3666065765087,40393115997061,61
